time_s,f_des_N,f_raw_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s
0.010618,0.000000,-0.028243,0.000000,0.008547,-0.000191,-0.131868
0.020307,0.000000,-0.028243,0.000000,-0.015385,-0.000191,0.034188
0.030286,0.000000,0.004826,0.000000,0.008547,-0.000191,-0.004884
0.040170,0.000000,-0.008618,0.000000,0.015385,-0.000191,0.043956
0.050153,0.000000,-0.008618,0.000000,-0.008547,-0.000191,-0.092796
0.060378,0.000000,-0.011222,0.000000,-0.018803,-0.000191,-0.014652
0.070000,0.000000,-0.017956,0.000000,-0.005128,-0.000191,-0.092796
0.081437,0.000000,-0.017956,0.000000,-0.001709,-0.000191,0.004884
0.091207,0.000000,-0.009906,0.000000,-0.015385,-0.000191,-0.034188
0.100000,0.000000,0.003948,0.000000,0.008547,-0.000191,0.014652
0.110596,0.000000,0.003948,0.000000,0.011966,-0.000191,0.063492
0.120319,0.000000,-0.012065,0.000000,-0.008547,-0.000191,-0.034188
0.130106,0.000000,-0.012065,0.000000,0.025641,-0.000191,-0.083028
0.140074,0.000000,-0.022687,0.000000,0.008547,-0.000191,0.004884
0.150000,0.000000,-0.026058,0.000000,-0.018803,-0.000191,0.014652
0.160000,0.000000,-0.026058,0.000000,0.018803,-0.000191,0.063492
0.170354,0.000000,0.000338,0.000000,0.001709,-0.000191,-0.083028
0.181043,0.000000,-0.001122,0.000000,0.001709,-0.000191,-0.014652
0.190169,0.000000,-0.001122,0.000000,0.029060,-0.000191,-0.053724
0.200328,0.000000,-0.016984,0.000000,0.005128,-0.000191,0.004884
0.210375,0.000000,-0.027884,0.000000,-0.005128,-0.000191,-0.014652
0.220352,0.000000,-0.027884,0.000000,0.001709,-0.000191,-0.053724
0.231051,0.000000,-0.018654,0.000000,-0.008547,-0.000191,0.024420
0.240534,0.000000,0.004955,0.000000,-0.011966,-0.000191,0.014652
0.250649,0.000000,0.004955,0.000000,-0.015385,-0.000191,-0.024420
0.262004,0.000000,-0.012314,0.000000,-0.011966,-0.000191,-0.063492
0.270455,0.000000,-0.012314,0.000000,0.005128,-0.000191,0.014652
0.280000,0.000000,-0.016988,0.000000,-0.001709,-0.000191,0.083028
0.290000,0.000000,-0.030727,0.000000,0.001709,-0.000191,-0.014652
0.300100,0.000000,-0.030727,0.000000,0.018803,-0.000191,0.014652
0.310000,0.000000,-0.010714,0.000000,0.001709,-0.000191,0.014652
