time_s,f_des_N,f_raw_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s
0.010206,0.000000,0.008538,0.000000,0.001709,-0.000191,0.053724
0.020197,0.000000,0.001905,0.000000,-0.001709,-0.000191,0.034188
0.030318,0.000000,0.001905,0.000000,0.001709,-0.000191,0.004884
0.040002,0.000000,0.011974,0.000000,0.001709,-0.000191,0.034188
0.050000,0.000000,0.011974,0.000000,0.001709,-0.000191,0.063492
0.060000,0.000000,0.028636,0.000000,-0.008547,-0.000191,0.034188
0.070522,0.000000,0.011984,0.000000,0.001709,-0.000191,0.004884
0.080578,0.000000,0.011984,0.000000,-0.011966,-0.000191,-0.004884
0.090847,0.000000,0.006535,0.000000,-0.001709,-0.000191,-0.004884
0.100225,0.000000,0.008466,0.000000,0.005128,-0.000191,-0.073260
0.110000,0.000000,0.008466,0.000000,-0.001709,-0.000191,0.083028
0.120000,0.000000,0.029581,0.000000,-0.015385,-0.000191,-0.073260
0.130000,0.000000,0.025231,0.000000,-0.001709,-0.000191,-0.043956
0.140225,0.000000,0.025231,0.000000,0.001709,-0.000191,0.053724
0.150391,0.000000,0.009331,0.000000,0.008547,-0.000191,0.043956
0.163369,0.000000,0.009331,0.000000,-0.025641,-0.000191,-0.034188
0.170931,0.000000,0.002613,0.000000,0.001709,-0.000191,-0.043956
0.181351,0.000000,0.015632,0.000000,-0.018803,-0.000191,-0.034188
0.190297,0.000000,0.015632,0.000000,-0.001709,-0.000191,-0.034188
0.200270,0.000000,0.027921,0.000000,-0.018803,-0.000191,-0.073260
0.210912,0.000000,0.016789,0.000000,-0.005128,-0.000191,0.102564
0.220663,0.000000,0.016789,0.000000,-0.005128,-0.000191,-0.034188
0.231698,0.000000,0.011939,0.000000,0.001709,-0.000191,-0.004884
0.240449,0.000000,0.000029,0.000000,-0.008547,-0.000191,0.014652
0.250319,0.000000,0.000029,0.000000,-0.022222,-0.000191,-0.034188
0.260316,0.000000,0.023543,0.000000,0.005128,-0.000191,-0.092796
0.270312,0.000000,0.021464,0.000000,0.011966,-0.000191,0.083028
0.282325,0.000000,0.021464,0.000000,0.008547,-0.000191,-0.073260
0.290005,0.000000,0.009891,0.000000,0.008547,-0.000191,-0.024420
0.300611,0.000000,0.009891,0.000000,-0.018803,-0.000191,0.014652
0.310188,0.000000,0.001269,0.000000,0.015385,-0.000191,0.004884
0.320102,0.000000,0.004308,0.000000,-0.001709,-0.000191,-0.112332
0.330117,0.000000,0.004308,0.000000,-0.008547,-0.000191,0.014652
0.340270,0.000000,0.026822,0.000000,-0.025641,-0.000191,0.004884
0.350463,0.000000,0.010348,0.000000,-0.022222,-0.000191,-0.053724
0.360465,0.000000,0.010348,0.000000,-0.005128,-0.000191,0.034188
0.370247,0.000000,0.010654,0.000000,-0.008547,-0.000191,-0.034188
0.382033,0.000000,0.010654,0.000000,-0.022222,-0.000191,-0.034188
0.390011,0.000000,0.004233,0.000000,-0.022222,-0.000191,-0.024420
0.400011,0.000000,0.023363,0.000000,-0.032479,-0.000191,0.073260
0.413058,0.000000,0.028596,0.000000,-0.011966,-0.000191,0.063492
0.420482,0.000000,0.028596,0.000000,0.001709,-0.000191,0.034188
0.430509,0.000000,0.016888,0.000000,-0.001709,-0.000191,-0.102564
0.440000,0.000000,0.016888,0.000000,-0.011966,-0.000191,-0.024420
0.450136,0.000000,0.004911,0.000000,-0.001709,-0.000191,-0.004884
0.460000,0.000000,0.005134,0.000000,-0.011966,-0.000191,0.043956
0.470000,0.000000,0.005134,0.000000,-0.005128,-0.000191,-0.034188
0.480424,0.000000,0.027976,0.000000,0.022222,-0.000191,0.034188
0.490176,0.000000,0.027976,0.000000,-0.029060,-0.000191,0.014652
0.501457,0.000000,0.005598,0.000000,0.008547,-0.000191,-0.034188
0.510332,0.000000,0.008693,0.000000,-0.015385,-0.000191,0.063492
0.520216,0.000000,0.002289,0.000000,0.001709,-0.000191,0.004884
