time_s,f_des_N,f_raw_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s
0.010165,0.000000,-0.018094,0.000000,0.018803,-0.000191,0.083028
0.020262,0.000000,-0.018094,0.000000,-0.018803,-0.000191,-0.053724
0.030000,0.000000,-0.015489,0.000000,-0.025641,-0.000191,0.004884
0.040163,0.000000,0.012949,0.000000,-0.008547,-0.000191,-0.122100
0.050000,0.000000,0.012949,0.000000,0.005128,-0.000191,-0.053724
0.060552,0.000000,-0.005134,0.000000,-0.001709,-0.000191,-0.073260
0.070861,0.000000,-0.017274,0.000000,-0.005128,-0.000191,-0.043956
0.080275,0.000000,-0.017274,0.000000,-0.008547,-0.000191,0.034188
0.090758,0.000000,-0.017324,0.000000,-0.005128,-0.000191,0.083028
0.100000,0.000000,-0.017324,0.000000,-0.022222,-0.000191,-0.063492
0.110004,0.000000,0.008136,0.000000,-0.015385,-0.000191,-0.161172
0.120369,0.000000,0.012549,0.000000,-0.001709,0.000191,0.180708
0.130448,0.000000,0.012549,0.000000,-0.001709,-0.000191,-0.092796
0.140191,0.000000,-0.006853,0.000000,0.001709,-0.000191,0.024420
0.150289,0.000000,-0.007806,0.000000,-0.015385,-0.000191,-0.004884
0.160347,0.000000,-0.007806,0.000000,0.018803,-0.000191,0.014652
0.170021,0.000000,-0.008568,0.000000,-0.005128,-0.000191,-0.063492
0.180000,0.000000,0.017260,0.000000,-0.018803,-0.000191,-0.043956
0.190000,0.000000,0.017260,0.000000,-0.008547,-0.000191,0.004884
0.200336,0.000000,0.000472,0.000000,-0.008547,-0.000191,-0.043956
0.210498,0.000000,0.000472,0.000000,-0.015385,-0.000191,0.034188
0.220446,0.000000,-0.009282,0.000000,0.011966,-0.000191,-0.014652
0.230135,0.000000,-0.016967,0.000000,-0.018803,-0.000191,-0.092796
0.240000,0.000000,-0.016967,0.000000,-0.005128,-0.000191,0.034188
0.250192,0.000000,-0.001816,0.000000,0.005128,-0.000191,0.014652
0.260171,0.000000,0.014816,0.000000,-0.001709,-0.000191,0.024420
0.270200,0.000000,0.014816,0.000000,0.005128,-0.000191,-0.024420
0.280129,0.000000,-0.005156,0.000000,-0.011966,-0.000191,-0.034188
0.290171,0.000000,-0.011908,0.000000,0.005128,-0.000191,-0.034188
0.300000,0.000000,-0.011908,0.000000,-0.001709,-0.000191,-0.043956
0.310306,0.000000,-0.016201,0.000000,0.011966,-0.000191,-0.122100
0.320481,0.000000,0.013304,0.000000,-0.025641,-0.000191,-0.053724
0.334297,0.000000,0.013304,0.000000,-0.015385,-0.000191,-0.073260
0.340030,0.000000,0.001818,0.000000,0.008547,-0.000191,-0.053724
0.350263,0.000000,-0.010140,0.000000,-0.005128,-0.000191,-0.063492
0.360000,0.000000,-0.010140,0.000000,-0.005128,-0.000191,-0.034188
0.370139,0.000000,-0.001560,0.000000,-0.018803,-0.000191,0.014652
0.380198,0.000000,-0.001560,0.000000,-0.001709,-0.000191,-0.004884
0.390217,0.000000,-0.003071,0.000000,-0.011966,-0.000191,0.053724
0.402168,0.000000,0.021568,0.000000,-0.018803,-0.000191,-0.004884
0.410197,0.000000,0.021568,0.000000,0.005128,-0.000191,-0.004884
0.420430,0.000000,-0.004619,0.000000,-0.005128,-0.000191,0.112332
0.430000,0.000000,-0.008130,0.000000,-0.015385,-0.000191,0.004884
0.440111,0.000000,-0.008130,0.000000,0.011966,-0.000191,-0.034188
0.450183,0.000000,-0.015145,0.000000,-0.005128,-0.000191,-0.034188
0.460214,0.000000,0.009288,0.000000,-0.022222,-0.000191,-0.034188
0.471321,0.000000,0.009288,0.000000,0.011966,-0.000191,-0.014652
0.480443,0.000000,0.007096,0.000000,0.005128,-0.000191,0.004884
0.491279,0.000000,-0.009654,0.000000,0.018803,-0.000191,-0.004884
0.500279,0.000000,-0.009654,0.000000,0.001709,-0.000191,-0.053724
0.510325,0.000000,-0.014637,0.000000,-0.022222,-0.000191,-0.004884
0.521306,0.000000,-0.014637,0.000000,-0.001709,-0.000191,0.034188
0.530070,0.000000,-0.005323,0.000000,0.011966,-0.000191,-0.073260
0.540454,0.000000,0.022912,0.000000,-0.008547,-0.000191,0.083028
0.550284,0.000000,0.022912,0.000000,0.005128,-0.000191,0.014652
0.560035,0.000000,-0.002574,0.000000,-0.018803,-0.000191,0.034188
0.570000,0.000000,-0.007641,0.000000,-0.011966,-0.000191,0.034188
0.580000,0.000000,-0.007641,0.000000,-0.011966,-0.000191,0.063492
0.590439,0.000000,-0.017517,0.000000,-0.011966,-0.000191,0.083028
0.600863,0.000000,0.003805,0.000000,-0.001709,-0.000191,-0.034188
0.610576,0.000000,0.003805,0.000000,0.011966,-0.000191,0.043956
0.620001,0.000000,0.010391,0.000000,0.005128,-0.000191,-0.063492
0.630278,0.000000,-0.007917,0.000000,-0.008547,-0.000191,0.102564
0.640078,0.000000,-0.007917,0.000000,-0.015385,-0.000191,-0.063492
0.650466,0.000000,-0.011721,0.000000,-0.015385,-0.000191,-0.043956
0.661134,0.000000,-0.009462,0.000000,-0.001709,-0.000191,-0.092796
0.671501,0.000000,-0.009462,0.000000,0.008547,-0.000191,0.063492
0.681340,0.000000,0.015362,0.000000,0.008547,-0.000191,0.043956
0.690346,0.000000,0.015362,0.000000,-0.005128,-0.000191,0.043956
0.700253,0.000000,0.003277,0.000000,-0.001709,-0.000191,-0.083028
0.710786,0.000000,-0.008474,0.000000,0.011966,-0.000191,0.053724
0.720000,0.000000,-0.008474,0.000000,0.005128,-0.000191,-0.004884
0.730759,0.000000,-0.014711,0.000000,-0.018803,-0.000191,-0.014652
0.741719,0.000000,-0.000004,0.000000,-0.005128,-0.000191,0.014652
