time_s,f_des_N,f_raw_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s
0.010244,0.000000,0.003085,0.000000,0.008547,-0.000191,0.014652
0.020246,0.000000,0.002438,0.000000,0.001709,-0.000191,-0.053724
0.030000,0.000000,0.002438,0.000000,0.011966,-0.000191,-0.043956
0.040120,0.000000,0.023995,0.000000,-0.032479,-0.000191,0.034188
0.050416,0.000000,0.023995,0.000000,0.011966,-0.000191,0.053724
0.060000,0.000000,0.012067,0.000000,0.008547,-0.000191,-0.063492
0.070024,0.000000,-0.000307,0.000000,-0.011966,-0.000191,0.004884
0.080274,0.000000,-0.000307,0.000000,0.008547,-0.000191,0.014652
0.090000,0.000000,-0.003286,0.000000,-0.011966,-0.000191,-0.024420
0.100000,0.000000,0.013336,0.000000,-0.001709,-0.000191,0.034188
0.110475,0.000000,0.013336,0.000000,-0.018803,-0.000191,0.043956
0.120363,0.000000,0.022447,0.000000,-0.005128,-0.000191,0.004884
0.130144,0.000000,0.002319,0.000000,-0.022222,-0.000191,-0.073260
0.140388,0.000000,0.002319,0.000000,-0.008547,-0.000191,0.004884
0.150014,0.000000,-0.001533,0.000000,0.001709,-0.000191,0.112332
0.160034,0.000000,-0.008412,0.000000,-0.018803,-0.000191,-0.092796
0.170024,0.000000,-0.008412,0.000000,-0.008547,-0.000191,0.024420
0.180333,0.000000,0.018558,0.000000,-0.022222,-0.000191,0.034188
0.192451,0.000000,0.018558,0.000000,-0.022222,-0.000191,-0.063492
0.200155,0.000000,0.015377,0.000000,0.011966,-0.000191,-0.043956
0.211398,0.000000,0.001036,0.000000,0.005128,-0.000191,-0.073260
0.220187,0.000000,0.001036,0.000000,-0.001709,-0.000191,-0.063492
0.230213,0.000000,-0.010111,0.000000,-0.008547,-0.000191,0.024420
0.240472,0.000000,-0.001762,0.000000,0.011966,-0.000191,0.024420
0.250266,0.000000,-0.001762,0.000000,-0.005128,-0.000191,0.053724
0.260867,0.000000,0.017083,0.000000,-0.018803,-0.000191,-0.043956
0.270688,0.000000,-0.010580,0.000000,0.008547,-0.000191,-0.014652
0.280305,0.000000,-0.010580,0.000000,0.005128,-0.000191,0.034188
0.290286,0.000000,0.001893,0.000000,0.011966,-0.000191,0.004884
0.300738,0.000000,0.001893,0.000000,0.001709,-0.000191,-0.043956
0.310300,0.000000,-0.012609,0.000000,0.001709,-0.000191,0.053724
0.320441,0.000000,0.002304,0.000000,-0.015385,-0.000191,-0.014652
0.330325,0.000000,0.002304,0.000000,-0.025641,-0.000191,0.034188
0.340101,0.000000,0.005187,0.000000,0.005128,-0.000191,-0.034188
0.350000,0.000000,0.001910,0.000000,0.008547,-0.000191,0.014652
0.360232,0.000000,0.001910,0.000000,0.008547,-0.000191,0.034188
0.370712,0.000000,-0.008297,0.000000,0.001709,-0.000191,-0.102564
0.380604,0.000000,-0.004424,0.000000,0.005128,-0.000191,0.014652
0.390454,0.000000,-0.004424,0.000000,0.011966,-0.000191,-0.004884
0.400082,0.000000,0.012981,0.000000,-0.015385,-0.000191,0.034188
0.410050,0.000000,0.001844,0.000000,-0.015385,-0.000191,0.004884
0.420000,0.000000,0.001844,0.000000,0.008547,-0.000191,-0.004884
0.430000,0.000000,-0.009421,0.000000,-0.005128,-0.000191,0.004884
0.440278,0.000000,-0.009377,0.000000,-0.011966,-0.000191,0.004884
0.450612,0.000000,-0.009377,0.000000,-0.018803,-0.000191,0.053724
0.460079,0.000000,0.007282,0.000000,-0.025641,-0.000191,-0.053724
0.470000,0.000000,0.007282,0.000000,-0.005128,-0.000191,0.004884
0.480000,0.000000,0.013478,0.000000,-0.005128,-0.000191,-0.083028
0.490000,0.000000,0.000217,0.000000,0.001709,-0.000191,0.063492
0.500049,0.000000,0.000217,0.000000,0.011966,-0.000191,0.004884
