time_s,f_des_N,f_raw_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s
0.010056,0.000000,-0.002812,0.000000,-0.001709,-0.000191,0.014652
0.020327,0.000000,-0.002812,0.000000,-0.011966,-0.000191,0.043956
0.030118,0.000000,-0.007476,0.000000,0.001709,-0.000191,0.014652
0.040323,0.000000,-0.007476,0.000000,-0.011966,-0.000191,-0.073260
0.050002,0.000000,-0.006977,0.000000,-0.008547,-0.000191,-0.073260
0.061405,0.000000,0.020163,0.000000,-0.001709,-0.000191,-0.073260
0.070036,0.000000,0.020163,0.000000,-0.005128,-0.000191,-0.063492
0.080244,0.000000,0.002194,0.000000,0.001709,-0.000191,-0.024420
0.090500,0.000000,-0.003758,0.000000,-0.005128,-0.000191,-0.092796
0.100012,0.000000,-0.003758,0.000000,0.001709,-0.000191,0.073260
0.110112,0.000000,-0.009928,0.000000,-0.001709,-0.000191,-0.053724
0.120095,0.000000,0.001693,0.000000,0.001709,-0.000191,-0.053724
0.130342,0.000000,0.001693,0.000000,-0.008547,-0.000191,-0.004884
0.140239,0.000000,0.017435,0.000000,-0.001709,-0.000191,0.053724
0.150989,0.000000,-0.003162,0.000000,0.001709,-0.000191,0.043956
0.161314,0.000000,-0.003162,0.000000,-0.008547,-0.000191,0.083028
0.170398,0.000000,-0.006067,0.000000,-0.008547,-0.000191,0.043956
0.180000,0.000000,-0.006067,0.000000,-0.008547,-0.000191,0.034188
0.190000,0.000000,-0.011769,0.000000,0.001709,-0.000191,-0.063492
0.201213,0.000000,0.011649,0.000000,0.001709,-0.000191,-0.004884
0.210078,0.000000,0.011649,0.000000,-0.001709,-0.000191,0.092796
0.220258,0.000000,0.008805,0.000000,-0.008547,-0.000191,0.034188
0.230100,0.000000,-0.003208,0.000000,0.001709,-0.000191,-0.024420
0.240107,0.000000,-0.003208,0.000000,0.001709,-0.000191,-0.102564
0.250052,0.000000,-0.007063,0.000000,-0.001709,-0.000191,-0.004884
0.260454,0.000000,-0.001002,0.000000,-0.001709,-0.000191,-0.034188
0.270260,0.000000,-0.001002,0.000000,-0.001709,-0.000191,-0.004884
0.280538,0.000000,0.017724,0.000000,-0.008547,-0.000191,0.043956
0.291489,0.000000,0.017724,0.000000,-0.008547,-0.000191,-0.034188
0.300035,0.000000,-0.000987,0.000000,-0.001709,-0.000191,0.043956
0.310627,0.000000,-0.005323,0.000000,0.001709,-0.000191,0.043956
0.320019,0.000000,-0.005323,0.000000,0.005128,-0.000191,0.034188
0.330000,0.000000,-0.011934,0.000000,-0.005128,-0.000191,0.014652
0.341408,0.000000,0.010420,0.000000,-0.001709,-0.000191,-0.034188
0.350179,0.000000,0.010420,0.000000,-0.008547,-0.000191,-0.034188
0.360697,0.000000,0.015553,0.000000,-0.001709,-0.000191,-0.102564
0.372046,0.000000,-0.000888,0.000000,-0.008547,-0.000191,0.004884
0.380000,0.000000,-0.000888,0.000000,-0.001709,-0.000191,-0.014652
0.390000,0.000000,-0.006423,0.000000,-0.005128,-0.000191,-0.083028
0.404258,0.000000,-0.006423,0.000000,-0.008547,-0.000191,0.024420
