time_s,f_des_N,f_raw_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s
0.010001,0.000000,-0.002908,0.000000,-0.008547,-0.000191,0.024420
0.020002,0.000000,-0.011912,0.000000,0.001709,-0.000191,-0.053724
0.030000,0.000000,-0.011912,0.000000,0.001709,-0.000191,-0.043956
0.041077,0.000000,-0.021256,0.000000,0.011966,0.000191,0.180708
0.050059,0.000000,-0.021256,0.000000,-0.001709,-0.000191,0.004884
0.060268,0.000000,0.000425,0.000000,-0.015385,-0.000191,-0.034188
0.070508,0.000000,0.008661,0.000000,0.005128,-0.000191,0.083028
0.080027,0.000000,0.008661,0.000000,-0.008547,-0.000191,0.024420
0.090049,0.000000,-0.008058,0.000000,0.001709,-0.000191,0.024420
0.100052,0.000000,-0.015280,0.000000,0.008547,-0.000191,0.004884
0.110579,0.000000,-0.015280,0.000000,0.005128,-0.000191,0.024420
0.120353,0.000000,-0.014299,0.000000,0.001709,-0.000191,0.034188
0.130370,0.000000,0.010973,0.000000,-0.022222,-0.000191,0.034188
0.140403,0.000000,0.010973,0.000000,0.011966,-0.000191,0.043956
0.150244,0.000000,-0.000449,0.000000,0.008547,-0.000191,0.014652
0.160239,0.000000,-0.000449,0.000000,0.008547,-0.000191,0.004884
0.170172,0.000000,-0.013267,0.000000,-0.001709,-0.000191,0.073260
0.183148,0.000000,-0.019686,0.000000,-0.011966,-0.000191,-0.024420
0.190302,0.000000,-0.019686,0.000000,-0.022222,-0.000191,-0.053724
0.200257,0.000000,-0.003991,0.000000,0.008547,-0.000191,0.024420
0.210714,0.000000,0.010148,0.000000,-0.001709,-0.000191,-0.073260
0.220287,0.000000,0.010148,0.000000,0.008547,-0.000191,0.034188
0.230317,0.000000,-0.012847,0.000000,-0.001709,-0.000191,0.024420
0.240334,0.000000,-0.010357,0.000000,-0.001709,-0.000191,0.014652
0.250447,0.000000,-0.010357,0.000000,-0.015385,-0.000191,0.043956
0.261238,0.000000,-0.022682,0.000000,-0.035897,-0.000191,-0.063492
0.271451,0.000000,-0.022682,0.000000,0.001709,-0.000191,-0.014652
0.281035,0.000000,0.004361,0.000000,0.001709,-0.000191,-0.034188
0.290000,0.000000,-0.003748,0.000000,-0.015385,-0.000191,-0.024420
0.300000,0.000000,-0.003748,0.000000,-0.022222,-0.000191,0.014652
0.310568,0.000000,-0.011054,0.000000,-0.005128,-0.000191,0.014652
0.320000,0.000000,-0.023548,0.000000,-0.005128,-0.000191,-0.024420
0.330497,0.000000,-0.023548,0.000000,0.001709,-0.000191,0.014652
0.340091,0.000000,-0.011313,0.000000,-0.005128,-0.000191,0.053724
0.350000,0.000000,0.010770,0.000000,0.001709,-0.000191,-0.004884
0.360000,0.000000,0.010770,0.000000,-0.015385,-0.000191,-0.014652
0.370019,0.000000,-0.008992,0.000000,-0.025641,-0.000191,0.053724
0.380758,0.000000,-0.008992,0.000000,-0.005128,-0.000191,0.024420
0.390244,0.000000,-0.014147,0.000000,0.011966,-0.000191,0.024420
0.400178,0.000000,-0.023404,0.000000,0.005128,-0.000191,0.014652
0.410035,0.000000,-0.023404,0.000000,-0.001709,-0.000191,-0.112332
0.420062,0.000000,0.000788,0.000000,-0.008547,-0.000191,-0.043956
0.430084,0.000000,0.002698,0.000000,0.001709,-0.000191,0.034188
0.440144,0.000000,0.002698,0.000000,-0.015385,-0.000191,-0.024420
0.450285,0.000000,-0.014853,0.000000,-0.005128,-0.000191,0.024420
0.460680,0.000000,-0.018525,0.000000,-0.011966,-0.000191,0.053724
0.471132,0.000000,-0.018525,0.000000,-0.005128,-0.000191,0.014652
0.480063,0.000000,-0.013967,0.000000,0.001709,-0.000191,0.024420
0.490092,0.000000,0.007829,0.000000,0.005128,-0.000191,0.034188
0.501347,0.000000,0.007829,0.000000,0.015385,-0.000191,0.043956
0.510848,0.000000,-0.005564,0.000000,-0.015385,-0.000191,0.014652
0.520772,0.000000,-0.005564,0.000000,0.001709,-0.000191,-0.043956
0.530486,0.000000,-0.015167,0.000000,0.005128,-0.000191,-0.151404
0.540513,0.000000,-0.023628,0.000000,-0.018803,-0.000191,-0.004884
0.550347,0.000000,-0.023628,0.000000,0.005128,-0.000191,-0.014652
0.560356,0.000000,-0.003731,0.000000,-0.005128,-0.000191,0.131868
0.570618,0.000000,0.005677,0.000000,0.001709,-0.000191,-0.014652
0.580000,0.000000,0.005677,0.000000,-0.001709,-0.000191,0.014652
0.590000,0.000000,-0.011694,0.000000,-0.022222,-0.000191,-0.034188
0.600000,0.000000,-0.017476,0.000000,-0.011966,-0.000191,0.014652
0.610000,0.000000,-0.017476,0.000000,0.008547,-0.000191,0.014652
0.620000,0.000000,-0.018123,0.000000,-0.001709,-0.000191,0.053724
0.630083,0.000000,0.010687,0.000000,-0.001709,-0.000191,-0.024420
0.640194,0.000000,0.010687,0.000000,0.008547,-0.000191,-0.053724
0.650403,0.000000,-0.005071,0.000000,0.001709,-0.000191,0.063492
0.660000,0.000000,-0.012120,0.000000,-0.011966,-0.000191,0.034188
0.670344,0.000000,-0.012120,0.000000,-0.018803,-0.000191,0.024420
0.680080,0.000000,-0.019614,0.000000,-0.001709,-0.000191,0.014652
0.690157,0.000000,-0.019614,0.000000,-0.011966,-0.000191,-0.043956
0.701651,0.000000,-0.008616,0.000000,0.008547,-0.000191,-0.043956
0.710348,0.000000,0.011376,0.000000,0.008547,-0.000191,-0.063492
0.720463,0.000000,0.011376,0.000000,0.005128,-0.000191,0.014652
0.730563,0.000000,-0.007941,0.000000,0.005128,-0.000191,-0.034188
0.740130,0.000000,-0.015095,0.000000,-0.001709,-0.000191,-0.014652
0.750000,0.000000,-0.015095,0.000000,-0.008547,-0.000191,0.063492
0.760910,0.000000,-0.019994,0.000000,-0.015385,-0.000191,0.043956
0.770129,0.000000,0.005467,0.000000,-0.022222,-0.000191,-0.063492
0.780000,0.000000,0.005467,0.000000,-0.005128,-0.000191,0.004884
0.791255,0.000000,0.001473,0.000000,-0.001709,-0.000572,-0.190476
0.800077,0.000000,-0.012825,0.000000,-0.022222,-0.000191,0.034188
0.810110,0.000000,-0.012825,0.000000,0.011966,-0.000191,-0.024420
0.822795,0.000000,-0.016878,0.000000,-0.042735,-0.000191,-0.092796
0.830880,0.000000,-0.016878,0.000000,0.011966,-0.000191,-0.034188
0.840140,0.000000,-0.011371,0.000000,-0.018803,-0.000191,-0.024420
0.850378,0.000000,0.008373,0.000000,-0.008547,-0.000191,0.063492
0.860199,0.000000,0.008373,0.000000,-0.011966,-0.000191,0.024420
0.870220,0.000000,-0.008707,0.000000,-0.015385,-0.000191,0.043956
0.880299,0.000000,-0.012740,0.000000,0.008547,-0.000191,-0.122100
0.890643,0.000000,-0.012740,0.000000,0.018803,-0.000191,0.073260
0.901550,0.000000,-0.019620,0.000000,-0.032479,-0.000191,0.004884
0.910869,0.000000,0.000408,0.000000,-0.008547,-0.000191,0.014652
0.920574,0.000000,0.000408,0.000000,-0.011966,-0.000191,-0.063492
0.930000,0.000000,0.007109,0.000000,-0.008547,-0.000191,0.034188
0.940000,0.000000,-0.013863,0.000000,-0.011966,-0.000191,0.004884
0.950185,0.000000,-0.013863,0.000000,0.001709,-0.000191,-0.034188
0.962024,0.000000,-0.022284,0.000000,-0.015385,-0.000191,-0.014652
0.971797,0.000000,-0.018368,0.000000,-0.029060,-0.000191,-0.034188
0.980142,0.000000,-0.018368,0.000000,-0.005128,-0.000191,-0.053724
0.990161,0.000000,0.006935,0.000000,-0.015385,-0.000191,-0.004884
1.000137,0.000000,0.006935,0.000000,-0.001709,-0.000191,-0.043956
1.010609,0.000000,-0.004439,0.000000,-0.001709,-0.000191,0.014652
1.020272,0.000000,-0.016132,0.000000,0.008547,-0.000191,-0.024420
1.030435,0.000000,-0.016132,0.000000,-0.008547,-0.000191,-0.092796
1.042342,0.000000,-0.020317,0.000000,-0.015385,-0.000191,0.014652
1.050205,0.000000,-0.006542,0.000000,-0.011966,-0.000191,0.053724
1.060262,0.000000,-0.006542,0.000000,0.011966,-0.000191,0.024420
1.070283,0.000000,0.006818,0.000000,-0.011966,-0.000191,0.034188
1.080341,0.000000,-0.012858,0.000000,0.005128,-0.000191,-0.014652
1.090306,0.000000,-0.012858,0.000000,-0.005128,-0.000191,-0.073260
1.100417,0.000000,-0.017510,0.000000,0.008547,-0.000191,-0.014652
1.110304,0.000000,-0.020276,0.000000,-0.011966,-0.000191,0.024420
1.120749,0.000000,-0.020276,0.000000,0.018803,-0.000191,0.004884
1.130107,0.000000,0.007065,0.000000,-0.001709,-0.000191,-0.034188
1.140035,0.000000,0.007065,0.000000,-0.018803,-0.000191,-0.014652
1.150955,0.000000,-0.003066,0.000000,-0.018803,-0.000191,-0.024420
1.160000,0.000000,-0.012295,0.000000,0.005128,-0.000191,-0.122100
1.170000,0.000000,-0.012295,0.000000,-0.008547,-0.000191,0.004884
1.180000,0.000000,-0.022850,0.000000,-0.018803,-0.000191,0.043956
1.190000,0.000000,-0.006932,0.000000,0.008547,-0.000191,0.004884
1.200218,0.000000,-0.006932,0.000000,-0.008547,-0.000191,0.014652
1.211017,0.000000,0.007163,0.000000,0.005128,-0.000191,-0.102564
1.220549,0.000000,-0.010284,0.000000,0.011966,-0.000191,-0.053724
1.231821,0.000000,-0.010284,0.000000,0.005128,-0.000191,-0.004884
1.240293,0.000000,-0.016908,0.000000,-0.008547,-0.000191,-0.053724
1.250345,0.000000,-0.016908,0.000000,0.005128,-0.000191,0.014652
1.263403,0.000000,-0.024332,0.000000,-0.011966,-0.000191,-0.014652
1.270687,0.000000,0.000900,0.000000,-0.015385,-0.000191,0.024420
1.280309,0.000000,0.000900,0.000000,-0.015385,-0.000191,0.004884
1.290016,0.000000,0.001734,0.000000,0.005128,-0.000191,0.004884
1.300000,0.000000,-0.014331,0.000000,0.005128,-0.000191,-0.004884
1.310000,0.000000,-0.014331,0.000000,-0.018803,-0.000191,0.004884
1.320002,0.000000,-0.015534,0.000000,-0.001709,-0.000191,0.034188
1.330337,0.000000,-0.016987,0.000000,-0.015385,-0.000191,0.004884
