time_s,f_des_N,f_rfob_N,f_ati_N,f_err_N,f_joint_Nm,tau_in_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,tau_meas_Nm,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit,wq_rfob
0.012391,0.000000,0.002637,0.545989,-0.002637,-0.000527,-0.005128,-0.000144,0.073260,-0.000001,0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.023970,0.000000,-0.023269,0.551240,0.023269,0.004654,0.001709,0.000969,0.092796,0.000010,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.032136,0.000000,-0.046734,0.570120,0.046734,0.009347,-0.008547,0.001907,0.024420,0.000025,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.042354,0.000000,-0.035408,0.570120,0.035408,0.007082,-0.005128,0.001454,-0.004884,0.000040,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.051994,0.000000,-0.019447,0.625058,0.019447,0.003889,-0.005128,0.000816,-0.024420,0.000048,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.060918,0.000000,-0.002089,0.560390,0.002089,0.000418,0.001709,0.000122,-0.053724,0.000049,-0.000191,-0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.071908,0.000000,0.003749,0.560390,-0.003749,-0.000750,-0.025641,-0.000112,0.053724,0.000048,-0.000191,-0.035897,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.081660,0.000000,-0.044827,0.552381,0.044827,0.008965,-0.035897,0.001831,0.004884,0.000066,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.090097,0.000000,-0.051147,0.552381,0.051147,0.010229,-0.001709,0.002084,-0.024420,0.000083,-0.000191,-0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.100664,0.000000,-0.048658,0.552361,0.048658,0.009732,-0.018803,0.001984,-0.112332,0.000104,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.110300,0.000000,-0.016346,0.614445,0.016346,0.003269,-0.008547,0.000692,-0.063492,0.000111,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.120300,0.000000,-0.016844,0.614445,0.016844,0.003369,-0.008547,0.000712,-0.073260,0.000118,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.130251,0.000000,-0.013153,0.591618,0.013153,0.002631,-0.005128,0.000564,-0.034188,0.000124,-0.000191,-0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.140237,0.000000,-0.031694,0.554461,0.031694,0.006339,-0.022222,0.001306,-0.053724,0.000137,-0.000191,0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.150112,0.000000,-0.026832,0.554461,0.026832,0.005366,0.008547,0.001111,0.034188,0.000148,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.160168,0.000000,-0.052748,0.572731,0.052748,0.010550,-0.005128,0.002148,-0.004884,0.000169,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.170440,0.000000,-0.045774,0.561558,0.045774,0.009155,0.005128,0.001869,-0.034188,0.000189,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.180936,0.000000,-0.035531,0.561558,0.035531,0.007106,-0.015385,0.001459,-0.024420,0.000204,-0.000191,0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.190032,0.000000,-0.023808,0.626146,0.023808,0.004762,0.015385,0.000990,0.024420,0.000213,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.202443,0.000000,-0.039067,0.626146,0.039067,0.007813,-0.015385,0.001601,0.004884,0.000233,-0.000191,0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.210289,0.000000,-0.029993,0.564908,0.029993,0.005999,0.022222,0.001238,0.004884,0.000242,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.220547,0.000000,-0.026885,0.566045,0.026885,0.005377,-0.008547,0.001114,-0.004884,0.000254,-0.000191,0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.231929,0.000000,-0.011799,0.566045,0.011799,0.002360,0.015385,0.000510,-0.014652,0.000260,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.240039,0.000000,-0.002473,0.519662,0.002473,0.000495,-0.008547,0.000137,-0.024420,0.000261,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.250926,0.000000,0.006561,0.614612,-0.006561,-0.001312,0.001709,-0.000224,-0.004884,0.000258,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.260219,0.000000,0.005050,0.614612,-0.005050,-0.001010,0.001709,-0.000164,0.063492,0.000257,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
