time_s,f_des_N,f_est_N,f_ati_N,f_err_N,tau_meas_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit
0.010321,0.000000,0.001709,-0.604659,-0.001709,0.001709,-0.008270,-0.034188,-0.000083,0.041009,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.020544,0.000000,0.040684,-0.604659,-0.040684,0.039316,-0.001589,0.073260,-0.000099,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.030016,0.000000,0.003487,-0.534782,-0.003487,-0.029060,-0.000101,-0.004884,-0.000100,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.040395,0.000000,-0.009176,-0.600157,0.009176,-0.011966,0.000405,-0.122100,-0.000096,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.051193,0.000000,-0.022725,-0.600157,0.022725,-0.015385,0.000947,0.063492,-0.000085,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.060000,0.000000,-0.030146,-0.649512,0.030146,-0.011966,0.001244,0.024420,-0.000075,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.070169,0.000000,-0.060014,-0.649512,0.060014,-0.035897,0.002439,-0.053724,-0.000050,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.080000,0.000000,-0.049721,-0.683017,0.049721,-0.001709,0.002027,-0.004884,-0.000030,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.091433,0.000000,-0.041486,-0.681995,0.041486,-0.001709,0.001698,0.083028,-0.000010,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.100000,0.000000,-0.031480,-0.681995,0.031480,0.001709,0.001297,-0.034188,0.000001,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.110745,0.000000,-0.030312,-0.634440,0.030312,-0.005128,0.001251,-0.014652,0.000014,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
0.121189,0.000000,-0.043053,-0.699905,0.043053,-0.018803,0.001760,-0.004884,0.000033,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
