time_s,f_raw_N,f_filt_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_rad,tau_meas_Nm,b_adm,k_spring,kd_motor,lpf_alpha,vel_limit
0.010120,-0.229232,-0.183585,-0.036717,-0.071088,0.024420,0.318723,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.020136,-0.229232,-0.197279,-0.039456,-0.007853,-0.073260,-0.000191,-0.039316,5.000000,1.000000,0.500000,0.3000,2.0000
0.030040,-0.440069,-0.270116,-0.054023,-0.010766,-0.063492,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.040016,-0.171056,-0.240398,-0.048080,-0.009578,0.024420,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.050277,-0.171056,-0.219596,-0.043919,-0.008746,-0.024420,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.060070,-0.204945,-0.215200,-0.043040,-0.008570,-0.004884,-0.000191,-0.039316,5.000000,1.000000,0.500000,0.3000,2.0000
0.070280,-0.218304,-0.216131,-0.043226,-0.008607,-0.190476,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.080329,-0.218304,-0.216783,-0.043357,-0.008633,0.034188,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.090293,-0.589192,-0.328506,-0.065701,-0.013102,-0.043956,-0.000191,-0.029060,5.000000,1.000000,0.500000,0.3000,2.0000
0.100384,-0.589192,-0.406712,-0.081342,-0.016230,-0.200244,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
0.110117,-0.273717,-0.366813,-0.073363,-0.014634,0.034188,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.120270,-0.136025,-0.297577,-0.059515,-0.011865,0.053724,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.133042,-0.136025,-0.249111,-0.049822,-0.009926,-0.053724,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.140315,-0.150901,-0.219648,-0.043930,-0.008748,0.004884,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.150000,-0.252348,-0.229458,-0.045892,-0.009140,-0.122100,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.160170,-0.252348,-0.236325,-0.047265,-0.009415,-0.092796,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.170125,-0.554437,-0.331759,-0.066352,-0.013232,-0.200244,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.180331,-0.243112,-0.305164,-0.061033,-0.012168,-0.014652,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.200962,-0.243112,-0.286549,-0.057310,-0.011424,-0.004884,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.202066,-0.219078,-0.266307,-0.053261,-0.010614,-0.053724,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.214236,-0.204217,-0.247680,-0.049536,-0.009869,0.063492,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.226227,-0.204217,-0.234641,-0.046928,-0.009347,-0.083028,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.235023,-0.529131,-0.322988,-0.064598,-0.012881,-0.014652,-0.000191,-0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.244912,-0.529131,-0.384831,-0.076966,-0.015355,-0.102564,-0.000191,-0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.250000,-0.269182,-0.350136,-0.070027,-0.013967,0.004884,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.260207,-0.135388,-0.285712,-0.057142,-0.011390,0.034188,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.277144,-0.135388,-0.240615,-0.048123,-0.009586,-0.083028,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.280000,-0.257129,-0.245569,-0.049114,-0.009785,-0.024420,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.290000,-0.258357,-0.249405,-0.049881,-0.009938,0.063492,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.300000,-0.258357,-0.252091,-0.050418,-0.010045,-0.034188,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.315040,-0.594770,-0.354895,-0.070979,-0.014158,0.043956,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.320399,-0.376725,-0.361444,-0.072289,-0.014420,0.024420,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
