time_s,f_des_N,f_raw_N,f_filt_N,f_err_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_rad,tau_meas_Nm,b_adm,k_spring,kd_motor,lpf_alpha,vel_limit
0.012526,0.000000,-0.424951,-0.412448,0.412448,0.082490,0.016612,-0.014652,-0.000572,-0.029060,5.000000,1.000000,0.500000,0.3000,2.0000
0.020508,0.000000,-0.453504,-0.424765,0.424765,0.084953,0.017029,0.024420,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.030526,0.000000,-0.465236,-0.436906,0.436906,0.087381,0.017514,0.004884,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.040276,0.000000,-0.465236,-0.445405,0.445405,0.089081,0.017854,-0.063492,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.051260,0.000000,-0.489511,-0.458637,0.458637,0.091727,0.018384,0.043956,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.060161,0.000000,-0.489511,-0.467899,0.467899,0.093580,0.018754,-0.053724,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.070043,0.000000,-0.388415,-0.444054,0.444054,0.088811,0.017800,-0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.080187,0.000000,-0.427961,-0.439226,0.439226,0.087845,0.017607,-0.053724,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
0.090429,0.000000,-0.427961,-0.435847,0.435847,0.087169,0.017472,-0.014652,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.100001,0.000000,-0.441446,-0.437526,0.437526,0.087505,0.017539,0.063492,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.110389,0.000000,-0.458171,-0.443720,0.443720,0.088744,0.017787,-0.053724,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.120443,0.000000,-0.458171,-0.448055,0.448055,0.089611,0.017960,-0.024420,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.131298,0.000000,-0.397860,-0.432997,0.432997,0.086599,0.017358,-0.083028,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.140070,0.000000,-0.402524,-0.423855,0.423855,0.084771,0.016992,-0.073260,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
0.150772,0.000000,-0.402524,-0.417456,0.417456,0.083491,0.016736,-0.014652,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.160199,0.000000,-0.433850,-0.422374,0.422374,0.084475,0.016933,0.053724,-0.000191,0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
0.171457,0.000000,-0.433850,-0.425817,0.425817,0.085163,0.017071,0.063492,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
