time_s,f_des_N,f_raw_N,f_filt_N,f_err_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,tau_meas_Nm,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit
0.010387,0.000000,-0.462794,-0.448142,0.448142,0.089628,0.017964,-0.004884,0.000180,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.020210,0.000000,-0.468902,-0.454370,0.454370,0.090874,0.018213,0.004884,0.000359,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.030012,0.000000,-0.468902,-0.458729,0.458729,0.091746,0.018387,-0.034188,0.000539,-0.000191,0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.040094,0.000000,-0.433369,-0.451121,0.451121,0.090224,0.018083,0.014652,0.000721,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.050126,0.000000,-0.410881,-0.439049,0.439049,0.087810,0.017600,-0.024420,0.000898,-0.000191,0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.060144,0.000000,-0.410881,-0.430599,0.430599,0.086120,0.017262,0.004884,0.001071,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.070000,0.000000,-0.450040,-0.436431,0.436431,0.087286,0.017495,-0.004884,0.001243,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.080738,0.000000,-0.445953,-0.439288,0.439288,0.087858,0.017610,-0.004884,0.001432,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.090000,0.000000,-0.445953,-0.441287,0.441287,0.088257,0.017690,-0.063492,0.001596,-0.000191,-0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.100000,0.000000,-0.450084,-0.443926,0.443926,0.088785,0.017795,0.063492,0.001774,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.110004,0.000000,-0.450084,-0.445774,0.445774,0.089155,0.017869,0.102564,0.001953,-0.000191,-0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.122582,0.000000,-0.362672,-0.420843,0.420843,0.084169,0.016872,-0.043956,0.002165,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.130249,0.000000,-0.393345,-0.412594,0.412594,0.082519,0.016542,0.112332,0.002292,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.141573,0.000000,-0.393345,-0.406819,0.406819,0.081364,0.016235,-0.034188,0.002476,0.000191,0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.150000,0.000000,-0.407923,-0.407150,0.407150,0.081430,0.016324,-0.034188,0.002613,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.160803,0.000000,-0.425863,-0.412764,0.412764,0.082553,0.016549,0.014652,0.002792,-0.000191,0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.170253,0.000000,-0.425863,-0.416694,0.416694,0.083339,0.016706,-0.122100,0.002950,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.181580,0.000000,-0.402012,-0.412289,0.412289,0.082458,0.016530,-0.073260,0.003137,-0.000191,0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.190392,0.000000,-0.357867,-0.395963,0.395963,0.079193,0.015877,0.014652,0.003277,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.201379,0.000000,-0.357867,-0.384534,0.384534,0.076907,0.015420,-0.004884,0.003446,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.210271,0.000000,-0.395159,-0.387721,0.387721,0.077544,0.015547,-0.034188,0.003585,-0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.220320,0.000000,-0.385707,-0.387117,0.387117,0.077423,0.015523,-0.122100,0.003741,-0.000191,0.029060,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.230000,0.000000,-0.385707,-0.386694,0.386694,0.077339,0.015506,-0.014652,0.003891,-0.000191,0.035897,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.240459,0.000000,-0.405219,-0.392252,0.392252,0.078450,0.015728,-0.024420,0.004055,-0.000191,0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.252880,0.000000,-0.364895,-0.384044,0.384044,0.076809,0.015400,-0.004884,0.004246,-0.000191,0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.260000,0.000000,-0.364895,-0.378300,0.378300,0.075660,0.015170,-0.014652,0.004354,-0.000191,0.029060,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.270000,0.000000,-0.371885,-0.376375,0.376375,0.075275,0.015093,0.083028,0.004505,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.280977,0.000000,-0.371885,-0.375028,0.375028,0.075006,0.014963,0.092796,0.004670,0.000191,0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.290145,0.000000,-0.396157,-0.381367,0.381367,0.076273,0.015217,-0.034188,0.004809,0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.300384,0.000000,-0.395788,-0.385693,0.385693,0.077139,0.015466,-0.092796,0.004967,-0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.311663,0.000000,-0.395788,-0.388722,0.388722,0.077744,0.015587,-0.014652,0.005143,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.320002,0.000000,-0.395314,-0.390699,0.390699,0.078140,0.015666,0.092796,0.005274,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.330000,0.000000,-0.292200,-0.361150,0.361150,0.072230,0.014408,-0.083028,0.005418,0.000191,0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.340869,0.000000,-0.292200,-0.340465,0.340465,0.068093,0.013657,0.053724,0.005566,-0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.350226,0.000000,-0.351375,-0.343738,0.343738,0.068748,0.013788,-0.024420,0.005695,-0.000191,0.042735,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.361090,0.000000,-0.380235,-0.354687,0.354687,0.070937,0.014226,-0.034188,0.005850,-0.000191,0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.371046,0.000000,-0.380235,-0.362352,0.362352,0.072470,0.014532,-0.034188,0.005995,-0.000191,0.032479,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.380182,0.000000,-0.395035,-0.372157,0.372157,0.074431,0.014924,-0.043956,0.006131,-0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.391486,0.000000,-0.335956,-0.361297,0.361297,0.072259,0.014490,0.122100,0.006295,-0.000191,0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.400916,0.000000,-0.335956,-0.353695,0.353695,0.070739,0.014110,0.043956,0.006428,0.000191,0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.410374,0.000000,-0.337010,-0.348689,0.348689,0.069738,0.013986,-0.024420,0.006560,-0.000191,0.042735,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.420246,0.000000,-0.337010,-0.345185,0.345185,0.069037,0.013846,0.004884,0.006697,-0.000191,0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.430165,0.000000,-0.339967,-0.343620,0.343620,0.068724,0.013783,0.102564,0.006834,-0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.440596,0.000000,-0.339967,-0.342524,0.342524,0.068505,0.013663,0.004884,0.006976,0.000191,0.056410,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.450284,0.000000,-0.346899,-0.343836,0.343836,0.068767,0.013792,0.004884,0.007110,-0.000191,0.029060,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.460000,0.000000,-0.374468,-0.353026,0.353026,0.070605,0.014159,-0.063492,0.007247,-0.000191,0.032479,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.470292,0.000000,-0.291224,-0.334485,0.334485,0.066897,0.013418,-0.004884,0.007385,-0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.480382,0.000000,-0.291224,-0.321507,0.321507,0.064301,0.012898,-0.014652,0.007515,-0.000191,0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.490564,0.000000,-0.326423,-0.322982,0.322982,0.064596,0.012957,0.024420,0.007647,-0.000191,0.042735,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.500085,0.000000,-0.356038,-0.332899,0.332899,0.066580,0.013354,-0.102564,0.007775,-0.000191,0.042735,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.510173,0.000000,-0.356038,-0.339840,0.339840,0.067968,0.013632,-0.004884,0.007912,-0.000191,0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.520001,0.000000,-0.359899,-0.345858,0.345858,0.069172,0.013872,0.043956,0.008048,-0.000191,0.042735,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.530092,0.000000,-0.359899,-0.350070,0.350070,0.070014,0.013965,-0.063492,0.008189,0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.543471,0.000000,-0.314051,-0.339264,0.339264,0.067853,0.013609,-0.073260,0.008371,-0.000191,0.056410,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.550187,0.000000,-0.304094,-0.328713,0.328713,0.065743,0.013187,-0.034188,0.008460,-0.000191,0.046154,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.560000,0.000000,-0.304094,-0.321328,0.321328,0.064266,0.012891,0.112332,0.008586,-0.000191,0.029060,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.570229,0.000000,-0.337467,-0.326169,0.326169,0.065234,0.013009,-0.043956,0.008720,0.000191,0.032479,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.580155,0.000000,-0.326796,-0.326357,0.326357,0.065271,0.013092,-0.014652,0.008849,-0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.591019,0.000000,-0.326796,-0.326489,0.326489,0.065298,0.013098,0.092796,0.008992,-0.000191,0.039316,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.600774,0.000000,-0.358462,-0.336081,0.336081,0.067216,0.013405,0.034188,0.009123,0.000191,0.049573,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.610000,0.000000,-0.276088,-0.318083,0.318083,0.063617,0.012761,0.063492,0.009240,-0.000191,0.039316,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.620000,0.000000,-0.276088,-0.305485,0.305485,0.061097,0.012181,-0.034188,0.009362,0.000191,0.042735,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.631515,0.000000,-0.284739,-0.299261,0.299261,0.059852,0.012009,-0.024420,0.009500,-0.000191,0.056410,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.641249,0.000000,-0.323057,-0.306400,0.306400,0.061280,0.012294,0.034188,0.009620,-0.000191,0.035897,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.650464,0.000000,-0.323057,-0.311397,0.311397,0.062279,0.012418,0.024420,0.009734,0.000191,0.039316,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.661090,0.000000,-0.332273,-0.317660,0.317660,0.063532,0.012745,0.024420,0.009870,-0.000191,0.056410,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.671166,0.000000,-0.332273,-0.322044,0.322044,0.064409,0.012844,0.004884,0.009999,0.000191,0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.680756,0.000000,-0.281798,-0.309970,0.309970,0.061994,0.012437,0.053724,0.010119,-0.000191,0.029060,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.690138,0.000000,-0.284256,-0.302256,0.302256,0.060451,0.012052,0.004884,0.010232,0.000191,0.039316,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.700127,0.000000,-0.284256,-0.296856,0.296856,0.059371,0.011836,-0.043956,0.010350,0.000191,0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.711061,0.000000,-0.300528,-0.297958,0.297958,0.059592,0.011956,0.014652,0.010481,-0.000191,0.046154,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.720565,0.000000,-0.293320,-0.296566,0.296566,0.059313,0.011901,0.053724,0.010594,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.730699,0.000000,-0.293320,-0.295592,0.295592,0.059118,0.011786,0.024420,0.010713,0.000191,0.032479,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.740373,0.000000,-0.288274,-0.293397,0.293397,0.058679,0.011698,-0.043956,0.010826,0.000191,0.049573,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.751111,0.000000,-0.220323,-0.271475,0.271475,0.054295,0.010897,0.024420,0.010943,-0.000191,0.049573,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.760081,0.000000,-0.220323,-0.256129,0.256129,0.051226,0.010207,0.004884,0.011035,0.000191,0.052991,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.770186,0.000000,-0.249585,-0.254166,0.254166,0.050833,0.010128,-0.092796,0.011137,0.000191,0.049573,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.781020,0.000000,-0.266880,-0.257980,0.257980,0.051596,0.010357,0.004884,0.011249,-0.000191,0.032479,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.790168,0.000000,-0.266880,-0.260650,0.260650,0.052130,0.010464,0.004884,0.011345,-0.000191,0.049573,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.800874,0.000000,-0.294752,-0.270881,0.270881,0.054176,0.010797,0.014652,0.011461,0.000191,0.049573,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.810885,0.000000,-0.258710,-0.267230,0.267230,0.053446,0.010651,0.063492,0.011567,0.000191,0.046154,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.820304,0.000000,-0.258710,-0.264674,0.264674,0.052935,0.010549,0.151404,0.011667,0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.830126,0.000000,-0.193235,-0.243242,0.243242,0.048648,0.009692,-0.112332,0.011762,0.000191,0.052991,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.840339,0.000000,-0.244638,-0.243661,0.243661,0.048732,0.009785,-0.034188,0.011862,-0.000191,0.056410,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.850377,0.000000,-0.244638,-0.243954,0.243954,0.048791,0.009796,-0.073260,0.011960,-0.000191,0.049573,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.862530,0.000000,-0.259774,-0.248700,0.248700,0.049740,0.009986,0.024420,0.012082,-0.000191,0.063248,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.870770,0.000000,-0.259774,-0.252022,0.252022,0.050404,0.010043,0.024420,0.012164,0.000191,0.059829,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.880044,0.000000,-0.277774,-0.259748,0.259748,0.051950,0.010352,0.073260,0.012260,0.000191,0.059829,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.891475,0.000000,-0.221183,-0.248178,0.248178,0.049636,0.009889,0.092796,0.012373,0.000191,0.073504,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.900915,0.000000,-0.221183,-0.240080,0.240080,0.048016,0.009565,0.034188,0.012464,0.000191,0.063248,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.910230,0.000000,-0.236510,-0.239009,0.239009,0.047802,0.009522,0.053724,0.012552,0.000191,0.063248,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.920226,0.000000,-0.252855,-0.243163,0.243163,0.048633,0.009688,-0.073260,0.012649,0.000191,0.063248,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.931704,0.000000,-0.252855,-0.246071,0.246071,0.049214,0.009881,-0.043956,0.012763,-0.000191,0.063248,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.940816,0.000000,-0.266811,-0.252293,0.252293,0.050459,0.010130,-0.014652,0.012855,-0.000191,0.052991,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.950000,0.000000,-0.279370,-0.260416,0.260416,0.052083,0.010378,0.034188,0.012950,0.000191,0.052991,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.960107,0.000000,-0.279370,-0.266102,0.266102,0.053220,0.010606,0.004884,0.013057,0.000191,0.056410,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.971194,0.000000,-0.175452,-0.238907,0.238907,0.047781,0.009518,-0.063492,0.013163,0.000191,0.042735,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
0.980843,0.000000,-0.175452,-0.219870,0.219870,0.043974,0.008833,0.024420,0.013248,-0.000191,0.042735,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
