time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
0.010205,0.000000,-0.104128,-0.104128,0.000000,-0.022222,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.020245,0.000000,-0.068507,-0.093442,0.000000,-0.015385,-0.000191,0.141636,0.000000,0.000000,0.000000,0.000000,0.3000
0.030268,0.000000,-0.068507,-0.085961,0.000000,0.008547,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.040178,0.000000,-0.076678,-0.083176,0.000000,-0.015385,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.050007,0.000000,-0.087163,-0.084373,0.000000,0.011966,-0.000191,-0.112332,0.000000,0.000000,0.000000,0.000000,0.3000
0.061742,0.000000,-0.087163,-0.085210,0.000000,0.005128,-0.000191,-0.122100,0.000000,0.000000,0.000000,0.000000,0.3000
0.071090,0.000000,-0.110183,-0.092702,0.000000,-0.018803,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.080088,0.000000,-0.098057,-0.094308,0.000000,-0.015385,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.090095,0.000000,-0.098057,-0.095433,0.000000,-0.001709,-0.000191,0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.100543,0.000000,-0.098057,-0.096220,0.000000,0.005128,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.110000,0.000000,-0.087356,-0.093561,0.000000,-0.029060,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.121015,0.000000,-0.087356,-0.091699,0.000000,0.011966,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.134528,0.000000,-0.103916,-0.095364,0.000000,0.042735,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.146333,0.000000,-0.105635,-0.098446,0.000000,0.059829,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.153745,0.000000,-0.105635,-0.100603,0.000000,0.066667,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.162665,0.000000,-0.036363,-0.081331,0.000000,0.049573,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
0.170084,0.000000,-0.016222,-0.061798,0.000000,0.035897,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.180196,0.000000,-0.016222,-0.048125,0.000000,0.059829,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.199227,0.000000,-0.004084,-0.034913,0.000000,0.032479,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.200211,0.000000,-0.004084,-0.025664,0.000000,0.073504,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.210000,0.000000,-0.025767,-0.025695,0.000000,0.046154,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.220000,0.000000,-0.028614,-0.026570,0.000000,0.046154,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.235263,0.000000,-0.028614,-0.027183,0.000000,0.063248,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.240000,0.000000,-0.030829,-0.028277,0.000000,0.039316,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.250000,0.000000,-0.002217,-0.020459,0.000000,0.046154,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.626754,0.000000,-0.002217,-0.014986,0.000000,0.032479,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
0.627888,0.000000,-0.016917,-0.015566,0.000000,0.056410,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.628872,0.000000,-0.016917,-0.015971,0.000000,0.046154,-0.000191,-0.141636,0.000000,0.000000,0.000000,0.000000,0.3000
0.629754,0.000000,-0.016917,-0.016255,0.000000,0.032479,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
0.630561,0.000000,-0.016917,-0.016454,0.000000,0.029060,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
0.631293,0.000000,-0.016917,-0.016593,0.000000,0.032479,-0.000191,-0.053724,0.000000,0.000000,0.000000,0.000000,0.3000
0.632078,0.000000,-0.016917,-0.016690,0.000000,0.025641,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.633519,0.000000,-0.016917,-0.016758,0.000000,0.042735,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
0.634750,0.000000,-0.016917,-0.016806,0.000000,0.049573,-0.000191,0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.638648,0.000000,-0.026119,-0.019600,0.000000,0.052991,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
0.639603,0.000000,-0.026119,-0.021556,0.000000,0.029060,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
0.640768,0.000000,-0.026119,-0.022925,0.000000,0.046154,-0.000191,-0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
0.641739,0.000000,-0.026119,-0.023883,0.000000,0.039316,-0.000191,0.131868,0.000000,0.000000,0.000000,0.000000,0.3000
0.642657,0.000000,-0.026119,-0.024554,0.000000,0.039316,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
