time_s,f_des_N,f_est_raw_N,f_est_filt_N,f_ati_N,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
0.010451,0.000000,0.008547,0.008547,-0.034524,0.001709,-0.000191,-0.063492,5.0000,0.1000
0.020157,0.000000,-0.111111,-0.027350,-0.034524,-0.022222,-0.000191,0.024420,5.0000,0.1000
0.030222,0.000000,-0.008547,-0.021709,-0.014329,-0.001709,-0.000191,-0.014652,5.0000,0.1000
0.040936,0.000000,0.025641,-0.007504,-0.031349,0.005128,-0.000191,-0.024420,5.0000,0.1000
0.050430,0.000000,-0.059829,-0.023202,-0.031349,-0.011966,-0.000191,-0.083028,5.0000,0.1000
0.060000,0.000000,0.042735,-0.003421,-0.037332,0.008547,-0.000191,-0.014652,5.0000,0.1000
0.070347,0.000000,-0.008547,-0.004959,-0.050111,-0.001709,-0.000191,0.004884,5.0000,0.1000
0.080110,0.000000,-0.042735,-0.016292,-0.050111,-0.008547,-0.000191,-0.004884,5.0000,0.1000
0.091047,0.000000,-0.059829,-0.029353,-0.024640,-0.011966,-0.000191,0.024420,5.0000,0.1000
0.100000,0.000000,-0.042735,-0.033367,-0.018471,-0.008547,0.000191,0.024420,5.0000,0.1000
0.110163,0.000000,-0.059829,-0.041306,-0.018471,-0.011966,-0.000191,-0.043956,5.0000,0.1000
0.120269,0.000000,-0.059829,-0.046863,-0.040488,-0.011966,-0.000191,-0.004884,5.0000,0.1000
0.130000,0.000000,0.025641,-0.025112,-0.040488,0.005128,-0.000191,-0.024420,5.0000,0.1000
0.140018,0.000000,0.059829,0.000371,-0.053415,0.011966,-0.000191,0.034188,5.0000,0.1000
0.150341,0.000000,-0.094017,-0.027946,-0.041779,-0.018803,-0.000191,-0.053724,5.0000,0.1000
0.160836,0.000000,-0.025641,-0.027254,-0.041779,-0.005128,-0.000191,-0.161172,5.0000,0.1000
0.170419,0.000000,-0.042735,-0.031899,-0.018059,-0.008547,0.000191,0.073260,5.0000,0.1000
0.180984,0.000000,-0.025641,-0.030021,-0.035954,-0.005128,-0.000191,-0.043956,5.0000,0.1000
0.190195,0.000000,-0.042735,-0.033835,-0.035954,-0.008547,-0.000191,0.024420,5.0000,0.1000
0.200025,0.000000,-0.042735,-0.036505,-0.042473,-0.008547,-0.000191,-0.053724,5.0000,0.1000
0.210016,0.000000,0.008547,-0.022990,-0.053627,0.001709,-0.000191,0.004884,5.0000,0.1000
0.220003,0.000000,-0.111111,-0.049426,-0.053627,-0.022222,0.000191,0.161172,5.0000,0.1000
0.230316,0.000000,-0.128205,-0.073060,-0.030797,-0.025641,-0.000191,0.014652,5.0000,0.1000
0.240877,0.000000,-0.059829,-0.069091,-0.010438,-0.011966,0.000191,0.073260,5.0000,0.1000
0.250187,0.000000,0.025641,-0.040671,-0.010438,0.005128,-0.000191,0.034188,5.0000,0.1000
0.261257,0.000000,-0.008547,-0.031034,-0.039822,-0.001709,0.000191,0.053724,5.0000,0.1000
0.270000,0.000000,0.025641,-0.014031,-0.039822,0.005128,-0.000191,-0.063492,5.0000,0.1000
0.280000,0.000000,-0.196581,-0.068796,-0.051283,-0.039316,-0.000191,-0.063492,5.0000,0.1000
0.293224,0.000000,-0.076923,-0.071234,-0.050007,-0.015385,-0.000191,-0.063492,5.0000,0.1000
0.300546,0.000000,0.008547,-0.047300,-0.050007,0.001709,-0.000191,-0.083028,5.0000,0.1000
