time_s,f_des_N,f_est_N,f_ati_N,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
0.010423,0.000000,-0.094017,0.036191,-0.018803,-0.000191,0.034188,5.0000,0.1000
0.020414,0.000000,-0.042735,0.021467,-0.008547,-0.000191,0.004884,5.0000,0.1000
0.030409,0.000000,-0.008547,0.015155,-0.001709,-0.000191,-0.004884,5.0000,0.1000
0.040400,0.000000,0.008547,0.015155,0.001709,-0.000191,-0.131868,5.0000,0.1000
0.050185,0.000000,-0.059829,-0.003659,-0.011966,-0.000191,-0.063492,5.0000,0.1000
0.060022,0.000000,-0.111111,-0.003659,-0.022222,-0.000191,0.073260,5.0000,0.1000
0.070041,0.000000,-0.145299,0.021266,-0.029060,-0.000191,-0.073260,5.0000,0.1000
0.080468,0.000000,-0.008547,0.035385,-0.001709,-0.000191,0.053724,5.0000,0.1000
0.090278,0.000000,-0.042735,0.035385,-0.008547,-0.000191,0.014652,5.0000,0.1000
0.100365,0.000000,-0.025641,0.006898,-0.005128,-0.000191,-0.043956,5.0000,0.1000
0.110097,0.000000,-0.111111,0.007694,-0.022222,-0.000191,-0.073260,5.0000,0.1000
0.120536,0.000000,-0.128205,0.007694,-0.025641,-0.000191,-0.024420,5.0000,0.1000
0.130000,0.000000,0.059829,0.000631,0.011966,-0.000191,-0.004884,5.0000,0.1000
0.140000,0.000000,-0.076923,0.036144,-0.015385,-0.000191,-0.083028,5.0000,0.1000
0.150254,0.000000,-0.094017,0.036144,-0.018803,-0.000191,0.053724,5.0000,0.1000
0.160085,0.000000,-0.076923,0.019186,-0.015385,-0.000191,-0.014652,5.0000,0.1000
0.170000,0.000000,-0.059829,0.019186,-0.011966,-0.000191,-0.004884,5.0000,0.1000
0.180248,0.000000,0.094017,0.012278,0.018803,-0.000191,-0.024420,5.0000,0.1000
0.190265,0.000000,0.008547,0.002125,0.001709,-0.000191,-0.014652,5.0000,0.1000
0.200497,0.000000,-0.111111,0.011202,-0.022222,-0.000191,-0.102564,5.0000,0.1000
0.210164,0.000000,0.008547,0.011202,0.001709,-0.000191,-0.073260,5.0000,0.1000
0.220929,0.000000,-0.008547,0.037380,-0.001709,-0.000191,0.014652,5.0000,0.1000
0.230732,0.000000,-0.076923,0.037380,-0.015385,-0.000191,-0.073260,5.0000,0.1000
0.240171,0.000000,-0.111111,0.013100,-0.022222,-0.000191,0.053724,5.0000,0.1000
0.250157,0.000000,-0.042735,0.008174,-0.008547,-0.000191,-0.131868,5.0000,0.1000
0.260000,0.000000,-0.025641,0.008174,-0.005128,-0.000191,0.043956,5.0000,0.1000
0.270108,0.000000,-0.042735,0.004428,-0.008547,-0.000191,-0.004884,5.0000,0.1000
0.280644,0.000000,0.025641,0.025921,0.005128,-0.000191,0.034188,5.0000,0.1000
0.290294,0.000000,0.008547,0.025921,0.001709,-0.000191,0.112332,5.0000,0.1000
0.300054,0.000000,-0.059829,0.028753,-0.011966,-0.000191,0.014652,5.0000,0.1000
0.310270,0.000000,-0.025641,0.028753,-0.005128,-0.000191,0.073260,5.0000,0.1000
0.320215,0.000000,0.025641,0.013470,0.005128,-0.000191,-0.034188,5.0000,0.1000
0.330218,0.000000,-0.111111,0.003232,-0.022222,-0.000191,-0.053724,5.0000,0.1000
0.340926,0.000000,0.025641,0.005622,0.005128,-0.000191,-0.063492,5.0000,0.1000
0.351172,0.000000,-0.094017,0.005622,-0.018803,-0.000191,0.004884,5.0000,0.1000
0.360275,0.000000,-0.042735,0.029495,-0.008547,-0.000191,-0.024420,5.0000,0.1000
0.370088,0.000000,-0.128205,0.029495,-0.025641,-0.000191,-0.151404,5.0000,0.1000
0.380299,0.000000,-0.025641,0.012785,-0.005128,-0.000191,-0.092796,5.0000,0.1000
0.390404,0.000000,0.008547,0.014059,0.001709,-0.000191,0.043956,5.0000,0.1000
0.400175,0.000000,-0.111111,0.014059,-0.022222,-0.000191,0.043956,5.0000,0.1000
0.410906,0.000000,-0.008547,-0.002688,-0.001709,-0.000191,-0.063492,5.0000,0.1000
0.420466,0.000000,0.076923,0.029691,0.015385,-0.000191,-0.024420,5.0000,0.1000
0.430785,0.000000,-0.094017,0.029691,-0.018803,-0.000191,-0.034188,5.0000,0.1000
0.440164,0.000000,-0.059829,0.025089,-0.011966,-0.000191,0.053724,5.0000,0.1000
0.450037,0.000000,-0.094017,0.025089,-0.018803,-0.000191,0.102564,5.0000,0.1000
0.460030,0.000000,0.042735,0.011589,0.008547,-0.000191,-0.073260,5.0000,0.1000
0.470467,0.000000,-0.076923,0.001685,-0.015385,-0.000191,0.004884,5.0000,0.1000
0.481143,0.000000,-0.076923,0.004896,-0.015385,-0.000191,-0.014652,5.0000,0.1000
0.490258,0.000000,0.059829,0.004896,0.011966,-0.000191,0.073260,5.0000,0.1000
0.501162,0.000000,-0.025641,0.031399,-0.005128,-0.000191,-0.024420,5.0000,0.1000
0.510000,0.000000,0.025641,0.031399,0.005128,-0.000191,0.014652,5.0000,0.1000
0.520295,0.000000,-0.076923,0.020990,-0.015385,0.000191,0.151404,5.0000,0.1000
0.530310,0.000000,0.025641,0.012304,0.005128,-0.000191,0.024420,5.0000,0.1000
0.540000,0.000000,-0.094017,0.012304,-0.018803,-0.000191,0.083028,5.0000,0.1000
0.550902,0.000000,0.042735,-0.002654,0.008547,-0.000191,0.092796,5.0000,0.1000
0.560779,0.000000,-0.025641,0.014700,-0.005128,-0.000191,-0.014652,5.0000,0.1000
0.570817,0.000000,-0.059829,0.014700,-0.011966,0.000191,0.112332,5.0000,0.1000
0.580034,0.000000,-0.025641,0.028005,-0.005128,-0.000191,0.043956,5.0000,0.1000
0.590076,0.000000,-0.008547,0.028005,-0.001709,-0.000191,0.014652,5.0000,0.1000
0.600906,0.000000,0.025641,0.010658,0.005128,-0.000191,-0.063492,5.0000,0.1000
0.611804,0.000000,-0.025641,-0.004122,-0.005128,-0.000191,-0.122100,5.0000,0.1000
0.620130,0.000000,-0.059829,0.002676,-0.011966,-0.000191,-0.102564,5.0000,0.1000
0.631787,0.000000,0.076923,0.002676,0.015385,-0.000191,-0.014652,5.0000,0.1000
0.640293,0.000000,-0.111111,0.034455,-0.022222,-0.000191,-0.053724,5.0000,0.1000
0.650314,0.000000,0.025641,0.034455,0.005128,-0.000191,-0.024420,5.0000,0.1000
0.660120,0.000000,0.008547,0.017112,0.001709,-0.000191,-0.024420,5.0000,0.1000
0.670336,0.000000,0.042735,0.015086,0.008547,-0.000191,0.024420,5.0000,0.1000
0.681112,0.000000,-0.042735,-0.005026,-0.008547,-0.000191,-0.014652,5.0000,0.1000
0.690565,0.000000,-0.008547,-0.005026,-0.001709,-0.000191,-0.004884,5.0000,0.1000
0.700642,0.000000,-0.076923,0.015975,-0.015385,-0.000191,0.092796,5.0000,0.1000
0.710160,0.000000,0.025641,0.015975,0.005128,-0.000191,-0.141636,5.0000,0.1000
0.720000,0.000000,-0.094017,0.038279,-0.018803,-0.000191,-0.004884,5.0000,0.1000
0.730000,0.000000,-0.076923,0.010044,-0.015385,-0.000191,0.024420,5.0000,0.1000
0.740755,0.000000,-0.025641,0.010044,-0.005128,-0.000191,0.004884,5.0000,0.1000
0.751638,0.000000,-0.008547,0.010729,-0.001709,0.000191,0.102564,5.0000,0.1000
0.760503,0.000000,-0.111111,-0.008088,-0.022222,-0.000191,0.034188,5.0000,0.1000
0.770918,0.000000,-0.059829,-0.008088,-0.011966,-0.000191,-0.004884,5.0000,0.1000
0.780000,0.000000,0.008547,0.029903,0.001709,-0.000191,-0.024420,5.0000,0.1000
0.790182,0.000000,-0.128205,0.029903,-0.025641,-0.000191,-0.024420,5.0000,0.1000
0.800316,0.000000,-0.076923,0.023466,-0.015385,-0.000191,0.131868,5.0000,0.1000
0.810093,0.000000,0.025641,0.012198,0.005128,-0.000191,-0.131868,5.0000,0.1000
0.821006,0.000000,0.008547,0.012198,0.001709,-0.000191,-0.024420,5.0000,0.1000
0.831517,0.000000,0.008547,0.001341,0.001709,-0.000191,-0.024420,5.0000,0.1000
0.840036,0.000000,-0.059829,0.010295,-0.011966,-0.000191,-0.024420,5.0000,0.1000
0.850000,0.000000,-0.025641,0.010295,-0.005128,-0.000191,-0.004884,5.0000,0.1000
0.860000,0.000000,0.008547,0.039975,0.001709,-0.000191,-0.053724,5.0000,0.1000
0.870000,0.000000,0.008547,0.039975,0.001709,-0.000191,0.024420,5.0000,0.1000
0.880003,0.000000,0.008547,0.011778,0.001709,-0.000191,-0.063492,5.0000,0.1000
0.890751,0.000000,-0.025641,0.005953,-0.005128,-0.000191,-0.102564,5.0000,0.1000
0.900385,0.000000,-0.025641,0.005953,-0.005128,0.000191,0.161172,5.0000,0.1000
0.910066,0.000000,-0.025641,-0.000954,-0.005128,-0.000191,-0.004884,5.0000,0.1000
0.920293,0.000000,-0.008547,0.014462,-0.001709,-0.000191,-0.073260,5.0000,0.1000
0.930080,0.000000,0.128205,0.014462,0.025641,-0.000191,0.053724,5.0000,0.1000
0.940099,0.000000,-0.025641,0.037037,-0.005128,-0.000191,-0.053724,5.0000,0.1000
0.953653,0.000000,-0.076923,0.007910,-0.015385,-0.000191,-0.073260,5.0000,0.1000
0.960700,0.000000,0.059829,0.007910,0.011966,-0.000191,0.063492,5.0000,0.1000
0.971636,0.000000,-0.042735,0.000355,-0.008547,-0.000191,-0.063492,5.0000,0.1000
0.981625,0.000000,-0.008547,0.002620,-0.001709,-0.000191,0.053724,5.0000,0.1000
0.990245,0.000000,-0.025641,0.002620,-0.005128,-0.000191,0.004884,5.0000,0.1000
1.000000,0.000000,0.059829,0.031897,0.011966,-0.000191,0.043956,5.0000,0.1000
1.010000,0.000000,-0.094017,0.031897,-0.018803,-0.000191,-0.014652,5.0000,0.1000
1.020410,0.000000,0.025641,0.019961,0.005128,-0.000191,-0.014652,5.0000,0.1000
1.030859,0.000000,0.025641,0.015942,0.005128,-0.000191,0.014652,5.0000,0.1000
1.040316,0.000000,-0.076923,0.015942,-0.015385,-0.000191,0.034188,5.0000,0.1000
1.050080,0.000000,-0.059829,-0.008815,-0.011966,-0.000191,0.053724,5.0000,0.1000
1.060014,0.000000,0.025641,0.014234,0.005128,-0.000191,-0.043956,5.0000,0.1000
1.070000,0.000000,-0.025641,0.014234,-0.005128,-0.000191,0.073260,5.0000,0.1000
1.080038,0.000000,0.042735,0.033752,0.008547,-0.000191,0.043956,5.0000,0.1000
1.090363,0.000000,0.094017,0.016742,0.018803,-0.000191,0.073260,5.0000,0.1000
1.100702,0.000000,0.025641,0.016742,0.005128,-0.000191,-0.024420,5.0000,0.1000
1.110000,0.000000,-0.008547,0.001384,-0.001709,-0.000191,-0.004884,5.0000,0.1000
1.120125,0.000000,-0.008547,0.001384,-0.001709,-0.000191,-0.043956,5.0000,0.1000
1.130355,0.000000,-0.128205,0.001384,-0.025641,-0.000191,0.043956,5.0000,0.1000
1.140000,0.000000,0.076923,0.030079,0.015385,-0.000191,0.014652,5.0000,0.1000
1.150001,0.000000,0.008547,0.030079,0.001709,-0.000191,-0.014652,5.0000,0.1000
1.160609,0.000000,-0.042735,0.026991,-0.008547,-0.000191,-0.014652,5.0000,0.1000
1.170333,0.000000,0.042735,0.012315,0.008547,-0.000191,0.014652,5.0000,0.1000
1.180497,0.000000,-0.059829,-0.001400,-0.011966,-0.000191,0.043956,5.0000,0.1000
1.190018,0.000000,-0.076923,-0.001400,-0.015385,-0.000191,-0.053724,5.0000,0.1000
1.200235,0.000000,0.008547,0.004326,0.001709,-0.000191,0.083028,5.0000,0.1000
