time_s,f_des_N,f_est_N,f_ati_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
0.010333,0.000000,-0.008547,-0.048798,0.000000,-0.001709,-0.000191,-0.024420,5.0000,0.1000
0.021011,0.000000,0.008547,-0.048798,0.000000,0.001709,-0.000191,0.024420,5.0000,0.1000
0.032268,0.000000,-0.008547,-0.050651,0.000000,-0.001709,-0.000191,-0.034188,5.0000,0.1000
0.040246,0.000000,-0.008547,-0.032365,0.000000,-0.001709,-0.000191,-0.024420,5.0000,0.1000
0.050045,0.000000,-0.042735,-0.032365,0.000000,-0.008547,-0.000191,-0.053724,5.0000,0.1000
0.061186,0.000000,-0.042735,-0.044871,0.000000,-0.008547,-0.000191,-0.102564,5.0000,0.1000
0.070000,0.000000,-0.025641,-0.044871,0.000000,-0.005128,-0.000191,0.014652,5.0000,0.1000
0.080000,0.000000,-0.008547,-0.052579,0.000000,-0.001709,-0.000191,0.063492,5.0000,0.1000
0.094250,0.000000,-0.008547,-0.065873,0.000000,-0.001709,-0.000191,-0.043956,5.0000,0.1000
0.101749,0.000000,-0.025641,-0.027838,0.000000,-0.005128,-0.000191,-0.063492,5.0000,0.1000
0.110201,0.000000,-0.025641,-0.027838,0.000000,-0.005128,-0.000191,-0.053724,5.0000,0.1000
0.120244,0.000000,-0.059829,-0.041160,0.000000,-0.011966,-0.000191,-0.063492,5.0000,0.1000
0.130616,0.000000,0.008547,-0.041160,0.000000,0.001709,-0.000191,0.034188,5.0000,0.1000
0.140266,0.000000,-0.008547,-0.047410,0.000000,-0.001709,-0.000191,0.014652,5.0000,0.1000
0.150188,0.000000,-0.008547,-0.047316,0.000000,-0.001709,-0.000191,-0.004884,5.0000,0.1000
0.160077,0.000000,-0.008547,-0.047316,0.000000,-0.001709,-0.000191,-0.063492,5.0000,0.1000
0.170107,0.000000,-0.025641,-0.058096,0.000000,-0.005128,-0.000191,0.004884,5.0000,0.1000
0.180793,0.000000,-0.025641,-0.024714,0.000000,-0.005128,-0.000191,-0.024420,5.0000,0.1000
0.191350,0.000000,-0.025641,-0.024714,0.000000,-0.005128,-0.000191,-0.102564,5.0000,0.1000
0.200615,0.000000,-0.025641,-0.043676,0.000000,-0.005128,-0.000191,-0.063492,5.0000,0.1000
0.210704,0.000000,-0.042735,-0.043676,0.000000,-0.008547,-0.000191,-0.053724,5.0000,0.1000
0.220000,0.000000,-0.008547,-0.054079,0.000000,-0.001709,-0.000191,0.063492,5.0000,0.1000
0.231152,0.000000,-0.008547,-0.050816,0.000000,-0.001709,-0.000191,0.004884,5.0000,0.1000
0.240283,0.000000,-0.042735,-0.050816,0.000000,-0.008547,-0.000191,-0.004884,5.0000,0.1000
0.250573,0.000000,-0.042735,-0.041075,0.000000,-0.008547,-0.000191,-0.024420,5.0000,0.1000
0.260115,0.000000,-0.059829,-0.031449,0.000000,-0.011966,-0.000191,0.053724,5.0000,0.1000
0.271635,0.000000,0.008547,-0.031449,0.000000,0.001709,-0.000191,0.034188,5.0000,0.1000
0.280539,0.000000,0.008547,-0.050938,0.000000,0.001709,-0.000191,0.053724,5.0000,0.1000
0.290192,0.000000,0.008547,-0.048728,0.000000,0.001709,-0.000191,-0.004884,5.0000,0.1000
0.300201,0.000000,-0.059829,-0.048728,0.000000,-0.011966,-0.000191,-0.131868,5.0000,0.1000
0.310000,0.000000,-0.008547,-0.058188,0.000000,-0.001709,-0.000191,0.131868,5.0000,0.1000
0.320453,0.000000,-0.008547,-0.029334,0.000000,-0.001709,-0.000191,0.063492,5.0000,0.1000
0.331763,0.000000,-0.008547,-0.029334,0.000000,-0.001709,-0.000191,-0.004884,5.0000,0.1000
0.340028,0.000000,-0.025641,-0.036642,0.000000,-0.005128,-0.000191,-0.063492,5.0000,0.1000
0.350071,0.000000,-0.008547,-0.036642,0.000000,-0.001709,-0.000191,0.034188,5.0000,0.1000
0.360108,0.000000,-0.025641,-0.046884,0.000000,-0.005128,-0.000191,0.073260,5.0000,0.1000
0.370232,0.000000,0.025641,-0.057645,0.000000,0.005128,-0.000191,0.034188,5.0000,0.1000
0.380478,0.000000,-0.059829,-0.046820,0.000000,-0.011966,-0.000191,0.014652,5.0000,0.1000
0.390202,0.000000,-0.025641,-0.046820,0.000000,-0.005128,-0.000191,0.112332,5.0000,0.1000
0.401384,0.000000,0.008547,-0.022436,0.000000,0.001709,-0.000191,0.014652,5.0000,0.1000
0.410000,0.000000,0.008547,-0.022436,0.000000,0.001709,-0.000191,-0.053724,5.0000,0.1000
0.420000,0.000000,-0.008547,-0.043935,0.000000,-0.001709,-0.000191,0.083028,5.0000,0.1000
0.430000,0.000000,-0.042735,-0.044946,0.000000,-0.008547,-0.000191,0.053724,5.0000,0.1000
0.441577,0.000000,-0.008547,-0.044946,0.000000,-0.001709,-0.000191,0.063492,5.0000,0.1000
0.451497,0.000000,-0.025641,-0.052729,0.000000,-0.005128,-0.000191,-0.034188,5.0000,0.1000
0.460848,0.000000,0.008547,-0.029891,0.000000,0.001709,-0.000191,-0.063492,5.0000,0.1000
0.470337,0.000000,-0.008547,-0.029891,0.000000,-0.001709,-0.000191,0.083028,5.0000,0.1000
0.480000,0.000000,0.008547,-0.033776,0.000000,0.001709,-0.000191,0.073260,5.0000,0.1000
0.490528,0.000000,-0.008547,-0.033776,0.000000,-0.001709,-0.000191,0.024420,5.0000,0.1000
0.500073,0.000000,0.008547,-0.047301,0.000000,0.001709,-0.000191,-0.014652,5.0000,0.1000
0.510282,0.000000,-0.025641,-0.053223,0.000000,-0.005128,-0.000191,-0.024420,5.0000,0.1000
0.520000,0.000000,0.008547,-0.050881,0.000000,0.001709,-0.000191,-0.024420,5.0000,0.1000
0.531439,0.000000,0.008547,-0.050881,0.000000,0.001709,-0.000191,0.083028,5.0000,0.1000
0.540789,0.000000,-0.025641,-0.030557,0.000000,-0.005128,-0.000191,0.043956,5.0000,0.1000
0.550201,0.000000,-0.042735,-0.030557,0.000000,-0.008547,-0.000191,-0.034188,5.0000,0.1000
0.560024,0.000000,-0.059829,-0.040490,0.000000,-0.011966,-0.000191,0.004884,5.0000,0.1000
0.571756,0.000000,-0.042735,-0.046143,0.000000,-0.008547,-0.000191,-0.043956,5.0000,0.1000
0.580280,0.000000,-0.008547,-0.046143,0.000000,-0.001709,-0.000191,-0.004884,5.0000,0.1000
0.590986,0.000000,-0.042735,-0.053256,0.000000,-0.008547,-0.000191,-0.043956,5.0000,0.1000
0.601059,0.000000,-0.042735,-0.041275,0.000000,-0.008547,-0.000191,-0.024420,5.0000,0.1000
0.610333,0.000000,-0.025641,-0.041275,0.000000,-0.005128,-0.000191,-0.083028,5.0000,0.1000
0.620154,0.000000,-0.059829,-0.028876,0.000000,-0.011966,-0.000191,0.024420,5.0000,0.1000
0.630131,0.000000,-0.008547,-0.028876,0.000000,-0.001709,-0.000191,-0.053724,5.0000,0.1000
0.641308,0.000000,-0.059829,-0.054009,0.000000,-0.011966,-0.000191,0.034188,5.0000,0.1000
0.650273,0.000000,-0.025641,-0.049667,0.000000,-0.005128,-0.000191,-0.024420,5.0000,0.1000
0.660330,0.000000,-0.008547,-0.053027,0.000000,-0.001709,-0.000191,0.004884,5.0000,0.1000
0.670435,0.000000,-0.008547,-0.053027,0.000000,-0.001709,-0.000191,-0.034188,5.0000,0.1000
0.680000,0.000000,-0.042735,-0.023467,0.000000,-0.008547,-0.000191,0.034188,5.0000,0.1000
0.690000,0.000000,-0.025641,-0.023467,0.000000,-0.005128,-0.000191,-0.034188,5.0000,0.1000
0.700000,0.000000,-0.008547,-0.035745,0.000000,-0.001709,-0.000191,-0.043956,5.0000,0.1000
0.710030,0.000000,-0.042735,-0.049477,0.000000,-0.008547,-0.000191,0.034188,5.0000,0.1000
0.720591,0.000000,-0.059829,-0.045433,0.000000,-0.011966,-0.000191,-0.014652,5.0000,0.1000
0.730265,0.000000,-0.008547,-0.045433,0.000000,-0.001709,-0.000191,-0.053724,5.0000,0.1000
0.740685,0.000000,-0.042735,-0.038756,0.000000,-0.008547,-0.000191,0.063492,5.0000,0.1000
