time_s,f_des_N,f_raw_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s
0.010000,0.000000,0.067105,0.000000,-0.005128,-0.000191,-0.034188
0.020179,0.000000,0.155132,0.000000,-0.015385,-0.000191,-0.083028
0.030268,0.000000,0.155132,0.000000,-0.008547,-0.000191,-0.063492
0.042454,0.000000,0.099674,0.000000,-0.001709,-0.000191,-0.024420
0.050697,0.000000,0.088484,0.000000,-0.005128,-0.000191,-0.004884
0.060360,0.000000,0.088484,0.000000,-0.001709,-0.000191,-0.014652
0.070257,0.000000,0.069008,0.000000,-0.001709,-0.000191,0.063492
0.080093,0.000000,0.069008,0.000000,-0.005128,-0.000191,0.024420
0.090063,0.000000,0.123519,0.000000,-0.001709,-0.000191,0.063492
0.100077,0.000000,0.100855,0.000000,0.005128,-0.000191,0.014652
0.110298,0.000000,0.100855,0.000000,-0.008547,-0.000191,0.004884
0.120215,0.000000,0.082860,0.000000,-0.005128,-0.000191,0.053724
0.130392,0.000000,0.082860,0.000000,-0.011966,-0.000191,-0.034188
0.140000,0.000000,0.082860,0.000000,-0.008547,-0.000191,0.043956
0.150720,0.000000,0.084709,0.000000,-0.001709,-0.000191,0.131868
0.160316,0.000000,0.062577,0.000000,-0.005128,-0.000191,-0.073260
0.170330,0.000000,0.062577,0.000000,-0.005128,-0.000191,-0.053724
0.180178,0.000000,0.146063,0.000000,-0.008547,-0.000191,0.004884
0.191998,0.000000,0.146063,0.000000,0.008547,-0.000191,0.014652
0.200629,0.000000,0.109304,0.000000,-0.001709,-0.000191,-0.014652
0.210131,0.000000,0.090870,0.000000,-0.008547,-0.000191,-0.043956
0.221221,0.000000,0.090870,0.000000,-0.001709,-0.000191,-0.043956
0.230248,0.000000,0.068490,0.000000,-0.001709,-0.000191,-0.014652
0.240249,0.000000,0.112699,0.000000,-0.005128,-0.000191,-0.024420
0.250000,0.000000,0.112699,0.000000,-0.011966,-0.000191,-0.034188
0.260716,0.000000,0.115592,0.000000,-0.011966,-0.000191,-0.092796
0.270333,0.000000,0.082880,0.000000,-0.008547,-0.000191,-0.053724
0.280271,0.000000,0.082880,0.000000,-0.008547,-0.000191,0.014652
0.290280,0.000000,0.086334,0.000000,0.001709,-0.000191,0.024420
0.300271,0.000000,0.062326,0.000000,-0.008547,-0.000191,0.014652
0.310201,0.000000,0.062326,0.000000,-0.001709,-0.000191,0.014652
0.320304,0.000000,0.141959,0.000000,-0.005128,-0.000191,0.043956
0.330709,0.000000,0.111148,0.000000,-0.001709,-0.000191,-0.004884
0.340589,0.000000,0.111148,0.000000,-0.005128,-0.000191,0.004884
0.350403,0.000000,0.085467,0.000000,0.001709,-0.000191,-0.004884
0.360000,0.000000,0.085467,0.000000,-0.011966,-0.000191,-0.083028
0.370000,0.000000,0.073997,0.000000,-0.005128,-0.000191,0.053724
0.380000,0.000000,0.079704,0.000000,-0.001709,-0.000191,0.043956
0.390252,0.000000,0.079704,0.000000,-0.008547,-0.000191,-0.053724
0.400278,0.000000,0.142294,0.000000,0.001709,-0.000191,0.043956
0.410802,0.000000,0.142294,0.000000,-0.001709,-0.000191,-0.073260
0.421052,0.000000,0.096692,0.000000,-0.005128,-0.000191,-0.073260
0.430008,0.000000,0.081257,0.000000,-0.005128,-0.000191,0.043956
0.440046,0.000000,0.081257,0.000000,-0.005128,-0.000191,0.034188
0.451036,0.000000,0.066613,0.000000,-0.008547,-0.000191,0.053724
0.460391,0.000000,0.138189,0.000000,-0.008547,-0.000191,-0.034188
0.470209,0.000000,0.138189,0.000000,-0.001709,-0.000191,0.024420
0.480280,0.000000,0.111209,0.000000,-0.015385,-0.000191,-0.034188
0.490162,0.000000,0.085048,0.000000,0.001709,-0.000191,-0.043956
0.500109,0.000000,0.085048,0.000000,-0.005128,-0.000191,-0.092796
0.511307,0.000000,0.087305,0.000000,-0.011966,-0.000191,0.053724
0.520596,0.000000,0.076112,0.000000,-0.008547,-0.000191,-0.043956
0.530398,0.000000,0.076112,0.000000,-0.008547,-0.000191,0.053724
0.540382,0.000000,0.148092,0.000000,-0.008547,-0.000191,-0.004884
0.550456,0.000000,0.086981,0.000000,0.001709,-0.000191,-0.014652
0.560000,0.000000,0.086981,0.000000,-0.001709,-0.000191,0.034188
0.570000,0.000000,0.083004,0.000000,-0.022222,-0.000191,0.112332
0.580008,0.000000,0.083004,0.000000,-0.008547,-0.000191,-0.034188
0.590083,0.000000,0.062404,0.000000,-0.005128,-0.000191,-0.063492
0.600359,0.000000,0.136028,0.000000,0.001709,-0.000191,0.102564
0.610010,0.000000,0.136028,0.000000,-0.008547,-0.000191,-0.004884
0.620066,0.000000,0.114495,0.000000,-0.005128,-0.000191,-0.112332
0.630060,0.000000,0.087904,0.000000,-0.008547,-0.000191,-0.024420
0.640455,0.000000,0.087904,0.000000,-0.005128,-0.000191,0.024420
0.651157,0.000000,0.078650,0.000000,-0.001709,-0.000191,0.063492
0.660363,0.000000,0.065199,0.000000,-0.001709,-0.000191,-0.102564
0.670074,0.000000,0.065199,0.000000,0.001709,-0.000191,-0.004884
0.680247,0.000000,0.150293,0.000000,0.005128,-0.000191,-0.034188
0.690142,0.000000,0.150293,0.000000,-0.001709,-0.000191,0.043956
0.700588,0.000000,0.101865,0.000000,0.005128,-0.000191,-0.073260
0.710026,0.000000,0.083691,0.000000,-0.005128,-0.000191,-0.004884
0.721443,0.000000,0.075602,0.000000,-0.005128,0.000191,0.170940
0.731139,0.000000,0.075602,0.000000,-0.005128,-0.000191,0.034188
0.740018,0.000000,0.128770,0.000000,-0.018803,-0.000191,0.014652
0.750012,0.000000,0.128770,0.000000,-0.005128,-0.000191,-0.092796
0.760670,0.000000,0.123835,0.000000,-0.008547,-0.000191,0.024420
