time_s,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,ref1,ref2,ref3,temp1,temp2,temp3
0.010233,0.009346,0.053724,-0.042735,-0.045205,0.004884,1.396581,-0.048257,0.024420,0.305983,0.000023,0.000032,-0.000031,32.0,35.0,31.0
0.020000,0.009346,-0.014652,-0.056410,-0.045205,0.053724,1.461538,-0.048257,-0.014652,0.282051,0.000087,0.000124,-0.000118,32.0,35.0,31.0
0.030300,0.009728,0.112332,-0.046154,-0.045205,-0.034188,1.427350,-0.048257,0.004884,0.312821,0.000197,0.000287,-0.000272,32.0,35.0,31.0
0.040151,0.009346,0.024420,-0.022222,-0.045205,-0.034188,1.441026,-0.048638,-0.034188,0.282051,0.000342,0.000505,-0.000480,32.0,35.0,31.0
0.050000,0.009728,0.073260,-0.029060,-0.045205,-0.043956,1.482051,-0.048638,-0.053724,0.254701,0.000525,0.000786,-0.000748,32.0,35.0,31.0
0.060000,0.009728,0.092796,-0.022222,-0.045205,0.014652,1.475214,-0.048638,-0.014652,0.282051,0.000748,0.001136,-0.001083,32.0,35.0,31.0
0.070003,0.009346,0.043956,-0.008547,-0.045205,-0.043956,1.502564,-0.048638,-0.063492,0.292308,0.001007,0.001552,-0.001482,32.0,35.0,31.0
0.080000,0.009346,-0.034188,-0.022222,-0.045205,0.024420,1.519658,-0.048638,-0.014652,0.227350,0.001301,0.002033,-0.001945,32.0,35.0,31.0
0.090000,0.009728,0.102564,-0.029060,-0.044823,0.083028,1.482051,-0.048638,-0.004884,0.213675,0.001628,0.002581,-0.002473,32.0,35.0,31.0
0.100024,0.009346,0.014652,-0.015385,-0.044823,0.092796,1.594872,-0.049020,-0.014652,0.203419,0.001988,0.003197,-0.003069,32.0,35.0,31.0
0.110020,0.009346,-0.024420,-0.032479,-0.044823,0.053724,1.574359,-0.049020,-0.004884,0.165812,0.002377,0.003880,-0.003729,32.0,35.0,31.0
0.120331,0.009346,-0.014652,0.001709,-0.044823,0.024420,1.625641,-0.049401,-0.083028,0.275214,0.002809,0.004654,-0.004481,32.0,35.0,31.0
0.130172,0.009346,-0.034188,-0.015385,-0.044823,0.024420,1.615385,-0.049783,0.083028,0.326496,0.003248,0.005460,-0.005264,32.0,35.0,31.0
0.140188,0.009346,-0.063492,0.032479,-0.044823,0.102564,1.687179,-0.050546,-0.014652,0.288889,0.003720,0.006348,-0.006130,32.0,35.0,31.0
0.150185,0.009728,0.014652,0.005128,-0.044442,0.092796,1.694017,-0.051308,-0.190476,0.234188,0.004216,0.007303,-0.007061,32.0,35.0,31.0
0.160184,0.009728,-0.034188,0.011966,-0.044442,0.043956,1.731624,-0.052071,-0.210012,0.186325,0.004735,0.008326,-0.008061,32.0,35.0,31.0
